DATASET INFORMATION:
TOTAL PACKAGES: 620221
TOTAL SNIPPETS: 2161911
--------
ERROR ANALYSIS

ERROR, CODE, CATEGORY, NUM OCCURANCES, NUM AFFECTED SNIPPETS, FIRST ID, PERCENT
Cannot find name, 2304, 1, 446972, 341002, 71, 0.1577317475141206
Cannot use JSX unless the '--jsx' flag is provided., 17004, 1, 134712, 58321, 27, 0.026976596168852465
Character expected, 1005, 1, 51468, 42756, 21, 0.019776947339645343
Property 'log' does not exist on type '(arg0: any) => void'., 2339, 1, 35678, 28908, 393, 0.013371503267248282
Expression expected., 1109, 1, 34446, 30306, 135, 0.014018153383742439
Cannot find name 'it'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha` and then add 'jest' or 'mocha' to the types field in your tsconfig., 2593, 1, 21228, 11469, 45, 0.005305028745401638
Type annotations can only be used in TypeScript files., 8010, 1, 19638, 8255, 772, 0.003818381052689033
A 'return' statement can only be used within a function body., 1108, 1, 14024, 13885, 382, 0.006422558560458779
Declaration or statement expected., 1128, 1, 13402, 11595, 205, 0.005363310515557764
Top-level 'await' expressions are only allowed when the 'module' option is set to 'es2022', 'esnext', 'system', 'node16', or 'nodenext', and the 'target' option is set to 'es2017' or higher., 1378, 1, 12933, 11939, 427, 0.005522428999158615
Block-scoped variable 'openingHours' used before its declaration., 2448, 1, 12841, 12012, 167, 0.005556195421550656
Cannot find name 'document'. Do you need to change your target library? Try changing the 'lib' compiler option to include 'dom'., 2584, 1, 11308, 10075, 503, 0.004660228843833072
Cannot find name '$'. Do you need to install type definitions for jQuery? Try `npm i --save-dev @types/jquery` and then add 'jquery' to the types field in your tsconfig., 2592, 1, 9578, 7926, 716, 0.003666200875059149
JSX element 'command' has no corresponding closing tag., 17008, 1, 7733, 3029, 1555, 0.0014010752524040073
Experimental support for decorators is a feature that is subject to change in a future release. Set the 'experimentalDecorators' option in your 'tsconfig' or 'jsconfig' to remove this warning., 1219, 1, 7475, 5582, 4434, 0.0025819749286626506
This expression is not callable., 2349, 1, 6866, 6337, 48, 0.0029312029958680074
Identifier expected., 1003, 1, 5828, 4800, 838, 0.0022202579107095527
Cannot find name 'vault'. Did you mean 'Vault'?, 2552, 1, 4988, 4387, 619, 0.0020292232196422516
'interface' declarations can only be used in TypeScript files., 8006, 1, 4306, 3214, 4027, 0.0014866476927126047
Unterminated template literal., 1160, 1, 4097, 4097, 48, 0.0018950826375368829
Left side of comma operator is unused and has no side effects., 2695, 1, 3928, 2354, 1777, 0.0010888514837104765
Expected 1 arguments, but got 2., 2554, 1, 3645, 3220, 2051, 0.0014894230151009918
Declaration expected., 1146, 1, 3621, 3547, 2090, 0.00164067808526808
The 'public' modifier can only be used in TypeScript files., 8009, 1, 3094, 1332, 4027, 0.0006161215702219009
Unexpected keyword or identifier., 1434, 1, 2945, 1082, 1783, 0.000500483137372445
Cannot redeclare block-scoped variable 'logger'., 2451, 1, 2901, 1162, 1133, 0.0005374874358842709
Type aliases can only be used in TypeScript files., 8008, 1, 2433, 1757, 1925, 0.0008127069060659759
Invalid character., 1127, 1, 2297, 703, 1783, 0.0003251752731726699
Duplicate function implementation., 2393, 1, 1837, 789, 5040, 0.00036495489407288275
Object is possibly 'undefined'., 2532, 1, 1771, 1284, 847, 0.0005939189911148054
Unexpected token. Did you mean `{'}'}` or `&rbrace;`?, 1381, 1, 1633, 1010, 5868, 0.00046717926871180175
Unexpected token. Did you mean `{'>'}` or `&gt;`?, 1382, 1, 1447, 819, 1555, 0.00037883150601481744
Value of type 'typeof AppComponent' is not callable. Did you mean to include 'new'?, 2348, 1, 1441, 1344, 10568, 0.0006216722149986748
JSX expressions must have one parent element., 2657, 1, 1385, 1385, 847, 0.0006406369179859855
No value exists in scope for the shorthand property 'n'. Either declare one or provide an initializer., 18004, 1, 1280, 893, 1784, 0.0004130604821382564
Type 'void' is not an array type., 2461, 1, 1147, 1019, 3688, 0.00047134225229438214
Operator cannot be applied to types 1 and 2, 2365, 1, 1146, 744, 1819, 0.0003441399761599807
'implements' clauses can only be used in TypeScript files., 8005, 1, 1033, 1013, 6188, 0.0004685669299059952
Property assignment expected., 1136, 1, 1024, 1006, 8428, 0.00046532905378621046
Parameter modifiers can only be used in TypeScript files., 8012, 1, 900, 734, 7682, 0.00033951443884600247
Argument of type 'Buffer' is not assignable to parameter of type 'string'., 2345, 1, 871, 788, 503, 0.0003644923403414849
