DATASET INFORMATION:
TOTAL PACKAGES: 620221
TOTAL SNIPPETS: 2161911
--------
PARSING ERROR ANALYSIS

ERROR, CODE, CATEGORY, NUM OCCURANCES, NUM AFFECTED SNIPPETS, FIRST ID, PERCENT, FATAL
Parsing error: Unexpected token,, 2, 575440, 575440,, 0.26617191919556354, true
Parsing error: Cannot use keyword 'await' outside an async function,, 2, 59221, 59221,, 0.027392894527110506, true
Parsing error: Unexpected character,, 2, 58460, 58460,, 0.027040891137516763, true
Parsing error: Identifier has already been declared,, 2, 21823, 21823,, 0.010094310080294702, true
Parsing error: Reserved keyword,, 2, 10188, 10188,, 0.004712497415481026, true
Parsing error: 'return' outside of function,, 2, 5760, 5760,, 0.0026643094928514633, true
Parsing error: Invalid regular expression,, 2, 4523, 4523,, 0.0020921305271123557, true
Parsing error: Assigning to rvalue,, 2, 4167, 4167,, 0.0019274613987347305, true
Parsing error: Unterminated regular expression,, 2, 2948, 2948,, 0.0013636084001607837, true
Parsing error: Unterminated string constant,, 2, 2643, 2643,, 0.0012225295120844475, true
Parsing error: Identifier directly after number,, 2, 2131, 2131,, 0.000985702001608762, true
Parsing error: Expecting Unicode escape sequence \uXXXX,, 2, 1554, 1554,, 0.0007188084985922177, true
Parsing error: Invalid number,, 2, 1465, 1465,, 0.0006776412164978114, true
Parsing error: Shorthand property assignments are valid only in destructuring patterns,, 2, 741, 741,, 0.0003427523149657872, true
Parsing error: Unterminated template,, 2, 671, 671,, 0.00031037355376793956, true
Parsing error: Label is already declared,, 2, 548, 548,, 0.00025347944480600727, true
Parsing error: Unterminated comment,, 2, 505, 505,, 0.00023358963435590087, true
Parsing error: Duplicate export 'default',, 2, 301, 301,, 0.00013922867315074486, true
Parsing error: Duplicate regular expression flag,, 2, 223, 223,, 0.00010314948210171464, true
Parsing error: Unexpected keyword 'var',, 2, 189, 189,, 0.00008742265523418865, true
Parsing error: Unterminated template literal,, 2, 147, 147,, 0.00006799539851548006, true
Parsing error: 'with' in strict mode,, 2, 142, 142,, 0.00006568262985849094, true
Parsing error: Unexpected keyword 'this',, 2, 140, 140,, 0.0000647575223956953, true
Parsing error: Unexpected keyword 'const',, 2, 131, 131,, 0.000060594538813114876, true
Parsing error: Binding arguments in strict mode,, 2, 125, 125,, 0.000057819216424727935, true
Parsing error: 'import' and 'export' may only appear at the top level,, 2, 119, 119,, 0.00005504389403634099, true
Parsing error: Argument name clash,, 2, 108, 108,, 0.00004995580299096494, true
Parsing error: super() call outside constructor of a subclass,, 2, 104, 104,, 0.00004810558806537365, true
Parsing error: Deleting local variable in strict mode,, 2, 83, 83,, 0.00003839195970601935, true
Parsing error: Unexpected keyword 'function',, 2, 69, 69,, 0.00003191620746644982, true
Parsing error: Unexpected keyword 'new',, 2, 69, 69,, 0.00003191620746644982, true
Parsing error: Unexpected keyword 'return',, 2, 63, 63,, 0.00002914088507806288, true
Parsing error: Unexpected keyword 'default',, 2, 63, 63,, 0.00002914088507806288, true
Parsing error: Unexpected keyword 'true',, 2, 62, 62,, 0.000028678331346665057, true
Parsing error: Expected number in radix 16,, 2, 55, 55,, 0.000025440455226880294, true
Parsing error: 'super' keyword outside a method,, 2, 54, 54,, 0.00002497790149548247, true
Parsing error: Octal literal in strict mode,, 2, 51, 51,, 0.000023590240301289, true
Parsing error: Unexpected keyword 'delete',, 2, 43, 43,, 0.00001988981045010641, true
Parsing error: Unexpected keyword 'class',, 2, 38, 38,, 0.000017577041793117294, true
Parsing error: Unexpected keyword 'false',, 2, 36, 36,, 0.000016651934330321645, true
Parsing error: Comma is not permitted after the rest element,, 2, 32, 32,, 0.000014801719404730351, true
Parsing error: Bad character escape sequence,, 2, 31, 31,, 0.000014339165673332528, true
Parsing error: Binding eval in strict mode,, 2, 30, 30,, 0.000013876611941934705, true
Parsing error: Unexpected keyword 'in',, 2, 30, 30,, 0.000013876611941934705, true
Parsing error: Missing catch or finally clause,, 2, 27, 27,, 0.000012488950747741235, true
Parsing error: Unexpected keyword 'import',, 2, 24, 24,, 0.000011101289553547764, true
Parsing error: Unexpected keyword 'do',, 2, 24, 24,, 0.000011101289553547764, true
Parsing error: Assigning to arguments in strict mode,, 2, 19, 19,, 0.000008788520896558647, true
Parsing error: Unexpected keyword 'export',, 2, 18, 18,, 0.000008325967165160823, true
Parsing error: Unexpected keyword 'case',, 2, 17, 17,, 0.000007863413433763, true
Parsing error: getter should have no params,, 2, 13, 13,, 0.000006013198508171706, true
Parsing error: Parenthesized pattern,, 2, 11, 11,, 0.000005088091045376058, true
Parsing error: Unsyntactic continue,, 2, 11, 11,, 0.000005088091045376058, true
Parsing error: Unexpected keyword 'continue',, 2, 10, 10,, 0.000004625537313978235, true
Parsing error: Unexpected keyword 'if',, 2, 10, 10,, 0.000004625537313978235, true
Parsing error: Unexpected keyword 'switch',, 2, 9, 9,, 0.000004162983582580411, true
Parsing error: The only valid meta property for import is 'import.meta',, 2, 9, 9,, 0.000004162983582580411, true
Parsing error: Export 'presets' is not defined,, 2, 9, 9,, 0.000004162983582580411, true
Parsing error: Unexpected keyword 'super',, 2, 9, 9,, 0.000004162983582580411, true
Parsing error: The only valid meta property for new is 'new.target',, 2, 9, 9,, 0.000004162983582580411, true
Parsing error: Complex binding patterns require an initialization value,, 2, 7, 7,, 0.0000032378761197847644, true
Parsing error: Export 'valInDeep' is not defined,, 2, 6, 6,, 0.000002775322388386941, true
Parsing error: Export 'throttle' is not defined,, 2, 6, 6,, 0.000002775322388386941, true
Parsing error: Cannot use 'yield' as identifier inside a generator,, 2, 6, 6,, 0.000002775322388386941, true
Parsing error: Unsyntactic break,, 2, 6, 6,, 0.000002775322388386941, true
Parsing error: Export 'Player' is not defined,, 2, 6, 6,, 0.000002775322388386941, true
Parsing error: Invalid Unicode escape,, 2, 6, 6,, 0.000002775322388386941, true
Parsing error: Bad escape sequence in untagged template literal,, 2, 6, 6,, 0.000002775322388386941, true
Parsing error: Unexpected keyword 'null',, 2, 5, 5,, 0.0000023127686569891176, true
Parsing error: Export 'Storage' is not defined,, 2, 5, 5,, 0.0000023127686569891176, true
Parsing error: Export 'Time' is not defined,, 2, 5, 5,, 0.0000023127686569891176, true
Parsing error: Export 'DataType' is not defined,, 2, 5, 5,, 0.0000023127686569891176, true
Parsing error: Export 'vaPhone' is not defined,, 2, 5, 5,, 0.0000023127686569891176, true
Parsing error: Export 'Foo' is not defined,, 2, 4, 4,, 0.000001850214925591294, true
Parsing error: Unexpected keyword 'typeof',, 2, 4, 4,, 0.000001850214925591294, true
