DATASET INFORMATION:
TOTAL PACKAGES: 620221
TOTAL SNIPPETS: 2161911
--------
ERROR ANALYSIS

ERROR, CODE, CATEGORY, NUM OCCURANCES, NUM AFFECTED SNIPPETS, FIRST ID, PERCENT
Cannot find name, 2304, 1, 6253740, 1153259, 2, 0.5334442537181225
Character expected, 1005, 1, 1646853, 336611, 1, 0.15570067407955276
Unexpected keyword or identifier., 1434, 1, 1375849, 180671, 2, 0.08357004520537617
Invalid character., 1127, 1, 1181697, 58891, 2, 0.027240251795749224
Expression expected., 1109, 1, 691683, 190614, 29, 0.08816921695666473
Cannot use JSX unless the '--jsx' flag is provided., 17004, 1, 423538, 154342, 1, 0.07139146801140288
Left side of comma operator is unused and has no side effects., 2695, 1, 318991, 73669, 29, 0.03407587083834626
Declaration or statement expected., 1128, 1, 238523, 110660, 20, 0.05118619591648315
Property 'returns' does not exist on type '(arg0: any) => void'., 2339, 1, 225499, 125404, 6, 0.058006088132212655
Identifier expected., 1003, 1, 131357, 62518, 21, 0.02891793417952913
'any' only refers to a type, but is being used as a value here., 2693, 1, 85326, 31617, 39, 0.014624561325604985
Type annotations can only be used in TypeScript files., 8010, 1, 82235, 28051, 139, 0.012975094719440347
Cannot redeclare block-scoped variable 'REACT_APP_VERSION'., 2451, 1, 81417, 22596, 37, 0.01045186411466522
Top-level 'await' expressions are only allowed when the 'module' option is set to 'es2022', 'esnext', 'system', 'node16', or 'nodenext', and the 'target' option is set to 'es2017' or higher., 1378, 1, 81406, 56034, 427, 0.02591873578514564
The left-hand side of an arithmetic operation must be of type 'any', 'number', 'bigint' or an enum type., 2362, 1, 71776, 43078, 39, 0.01992588964115544
Cannot find name '$'. Do you need to install type definitions for jQuery? Try `npm i --save-dev @types/jquery` and then add 'jquery' to the types field in your tsconfig., 2592, 1, 62456, 37529, 37, 0.017359178985628918
Unknown keyword or identifier, 1435, 1, 61635, 30498, 2, 0.01410696370017082
Duplicate identifier 'zeroxName'., 2300, 1, 60827, 20748, 140, 0.009597064819042041
The right-hand side of an arithmetic operation must be of type 'any', 'number', 'bigint' or an enum type., 2363, 1, 58160, 29977, 85, 0.013865973206112554
Block-scoped variable 'uth' used before its declaration., 2448, 1, 57898, 39762, 153, 0.018392061467840257
Cannot find name 'document'. Do you need to change your target library? Try changing the 'lib' compiler option to include 'dom'., 2584, 1, 56300, 44779, 503, 0.02071269353826314
Cannot find name 'it'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha` and then add 'jest' or 'mocha' to the types field in your tsconfig., 2593, 1, 49615, 29490, 45, 0.013640709538921814
No value exists in scope for the shorthand property 'cfg'. Either declare one or provide an initializer., 18004, 1, 48851, 19155, 429, 0.00886021672492531
JSX element 'meta' has no corresponding closing tag., 17008, 1, 45331, 20369, 1, 0.009421756954842268
An identifier or keyword cannot immediately follow a numeric literal., 1351, 1, 44329, 11505, 166, 0.00532168067973196
Unexpected token. Did you mean `{'}'}` or `&rbrace;`?, 1381, 1, 41970, 12314, 816, 0.005695886648432799
This expression is not callable., 2349, 1, 38853, 26483, 244, 0.01224981046860856
Declaration expected., 1146, 1, 34084, 20517, 723, 0.009490214907089145
Argument expression expected., 1135, 1, 28004, 15606, 218, 0.007218613532194434
Cannot find name '$DOMAIN'. Did you mean 'DOMAIN'?, 2552, 1, 25979, 17860, 38, 0.008261209642765128
Operator cannot be applied to types 1 and 2, 2365, 1, 23634, 14534, 422, 0.006722755932135967
Expected 0 arguments, but got 1., 2554, 1, 22385, 14285, 742, 0.006607580053017909
Experimental support for decorators is a feature that is subject to change in a future release. Set the 'experimentalDecorators' option in your 'tsconfig' or 'jsconfig' to remove this warning., 1219, 1, 21689, 14161, 1927, 0.006550223390324578
Module '"assert"' has no exported member 'name'., 2305, 1, 19693, 18678, 454, 0.008639578595048547
Import declaration conflicts with local declaration of 'assert'., 2440, 1, 17832, 17832, 4, 0.008248258138285988
Unterminated regular expression literal., 1161, 1, 17516, 12779, 39, 0.005910974133532787
A type predicate is only allowed in return type position for functions and methods., 1228, 1, 16556, 10474, 389, 0.004844787782660803
Unexpected token. Did you mean `{'>'}` or `&gt;`?, 1382, 1, 15857, 7966, 21, 0.003684703024315062
